City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Faanui,PF,2022-10-18 00:28:08,-16.4833,-151.75,77.76,79,18,16.06
138,Turan,VN,2022-10-18 00:28:08,16.0678,108.2208,80.58,61,75,3.44
139,Hofn,IS,2022-10-18 00:28:09,64.2539,-15.2082,39.56,68,100,4.9
140,Khatanga,RU,2022-10-18 00:24:16,71.9667,102.5,20.43,97,100,6.58
141,Parintins,BR,2022-10-18 00:26:09,-2.6283,-56.7358,74.93,94,83,1.81
142,Grindavik,IS,2022-10-18 00:28:09,63.8424,-22.4338,37.87,81,20,4.61
143,Mar Del Plata,AR,2022-10-18 00:27:04,-38.0023,-57.5575,57.09,85,0,14.0
144,Katsuura,JP,2022-10-18 00:28:10,35.1333,140.3,60.82,90,100,15.57
145,Vao,NC,2022-10-18 00:28:10,-22.6667,167.4833,73.36,73,84,4.83
146,Thinadhoo,MV,2022-10-18 00:28:10,0.5333,72.9333,81.81,64,100,7.47
147,Severodvinsk,RU,2022-10-18 00:28:11,64.5635,39.8302,42.91,93,100,17.07
148,Oranjemund,NA,2022-10-18 00:28:11,-28.55,16.4333,58.8,89,28,6.69
149,Trincomalee,LK,2022-10-18 00:28:11,8.5711,81.2335,78.22,84,100,16.4
150,Provideniya,RU,2022-10-18 00:28:12,64.3833,-173.3,33.91,75,100,11.18
151,Tuatapere,NZ,2022-10-18 00:28:12,-46.1333,167.6833,50.95,58,56,13.47
152,Tuktoyaktuk,CA,2022-10-18 00:28:13,69.4541,-133.0374,28.4,93,100,5.75
153,Kharakvasla,IN,2022-10-18 00:28:13,18.4333,73.7667,71.04,92,100,1.41
154,Victoria,HK,2022-10-18 00:24:09,22.2855,114.1577,73.18,66,100,15.01
155,Fort Nelson,CA,2022-10-18 00:28:13,58.8053,-122.7002,56.79,47,75,8.05
156,Jambi,ID,2022-10-18 00:28:14,-1.6,103.6167,76.32,94,100,1.77
157,Avera,US,2022-10-18 00:28:09,33.194,-82.5271,71.65,59,56,10.67
158,Chapais,CA,2022-10-18 00:28:14,49.7834,-74.8492,46.18,68,100,10.49
159,Koutsouras,GR,2022-10-18 00:24:48,35.0339,25.9469,67.1,71,16,18.81
160,Troitsko-Pechorsk,RU,2022-10-18 00:28:15,62.7084,56.1964,41.36,89,100,9.78
161,Castanos,MX,2022-10-18 00:28:15,26.7833,-101.4167,62.19,88,100,10.36
162,Nanakuli,US,2022-10-18 00:28:15,21.3906,-158.1547,87.87,56,75,6.91
163,Touros,BR,2022-10-18 00:28:16,-5.1989,-35.4608,77.63,78,77,16.71
164,Tura,IN,2022-10-18 00:28:16,25.5198,90.2201,67.91,95,3,2.84
165,Bubaque,GW,2022-10-18 00:28:16,11.2833,-15.8333,80.98,78,96,8.14
166,Poum,NC,2022-10-18 00:28:17,-20.2333,164.0167,75.72,73,1,5.12
167,Constitucion,CL,2022-10-18 00:28:17,-35.3333,-72.4167,52.92,83,69,4.92
168,Solnechnyy,RU,2022-10-18 00:28:18,50.7214,136.6319,35.29,53,20,1.88
169,Sao Joao Da Barra,BR,2022-10-18 00:28:18,-21.6403,-41.0511,75.29,88,94,16.73
170,Santa Margherita Ligure,IT,2022-10-18 00:28:18,44.3346,9.212,68.49,80,47,1.01
171,Lata,PT,2022-10-18 00:28:19,40.1629,-8.3327,59.07,77,8,3.98
172,Kahului,US,2022-10-18 00:24:55,20.8947,-156.47,89.62,62,40,19.57
173,Yaan,NG,2022-10-18 00:28:19,7.3833,8.5667,75.58,83,95,3.56
174,Georgetown,MY,2022-10-18 00:27:03,5.4112,100.3354,80.53,87,20,3.44
175,Isangel,VU,2022-10-18 00:28:19,-19.55,169.2667,84.31,84,75,2.3
